epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,77.613,1.97341,3.07694,1.85358,0.16357,0.23698,0.12298,0.04804,2.00466,5.15732,1.99718,0.00054409,0.00054409,0.00054409
2,111.865,1.94768,2.32273,1.80987,0.59464,0.12931,0.07145,0.02561,2.30954,5.74867,2.21736,0.0010925,0.0010925,0.0010925
3,145.658,2.00259,2.31259,1.86691,0.07761,0.23006,0.06079,0.01982,2.62922,6.44945,3.19838,0.00163357,0.00163357,0.00163357
4,179.178,2.03494,2.2859,1.90672,0.09483,0.37015,0.09028,0.03185,2.31932,5.30489,2.42747,0.00163399,0.00163399,0.00163399
5,211.963,1.94104,2.16975,1.84621,0.14655,0.35655,0.12291,0.04306,2.12627,3.76268,2.16963,0.00162299,0.00162299,0.00162299
6,245.967,1.90348,2.17164,1.81879,0.32679,0.23598,0.21825,0.07819,2.30673,2.50496,2.17227,0.00161199,0.00161199,0.00161199
7,282.019,1.8997,2.09523,1.80713,0.25749,0.3043,0.21111,0.08699,2.05084,2.53184,2.03929,0.00160099,0.00160099,0.00160099
8,316.706,1.86042,2.0399,1.79081,0.6389,0.25825,0.31813,0.14217,1.96947,2.47046,1.9085,0.00158998,0.00158998,0.00158998
9,351.276,1.84978,1.99014,1.75651,0.38476,0.29554,0.30017,0.13013,2.01585,2.59171,1.97991,0.00157898,0.00157898,0.00157898
10,384.215,1.85285,2.01553,1.73336,0.32394,0.2965,0.23799,0.09601,2.17364,2.37562,1.96573,0.00156798,0.00156798,0.00156798
11,418.206,1.81345,1.95874,1.72437,0.33576,0.45225,0.36476,0.16267,1.89679,1.97699,1.81514,0.00155698,0.00155698,0.00155698
12,451.329,1.76533,1.88027,1.70511,0.34366,0.49348,0.39683,0.18117,1.87947,1.88335,1.8442,0.00154598,0.00154598,0.00154598
13,483.581,1.76592,1.86749,1.69912,0.40923,0.41345,0.36679,0.16511,1.91977,1.92822,1.8038,0.00153497,0.00153497,0.00153497
14,516.198,1.74537,1.82125,1.66714,0.33392,0.46592,0.39086,0.16987,1.89254,1.80383,1.7759,0.00152397,0.00152397,0.00152397
15,549.222,1.73217,1.8421,1.67482,0.51513,0.40969,0.40831,0.18021,1.91456,1.87206,1.8056,0.00151297,0.00151297,0.00151297
16,585.55,1.73779,1.81846,1.6594,0.28984,0.47886,0.38124,0.17883,1.89797,1.88297,1.77684,0.00150197,0.00150197,0.00150197
17,618.807,1.70191,1.73306,1.63628,0.43006,0.41909,0.41072,0.19462,1.8582,1.75742,1.75705,0.00149096,0.00149096,0.00149096
18,653.019,1.70559,1.7542,1.65005,0.30828,0.47503,0.36508,0.1673,1.86567,1.77184,1.79574,0.00147996,0.00147996,0.00147996
19,686.817,1.68687,1.71455,1.64868,0.35723,0.48956,0.4078,0.19535,1.83898,1.76917,1.77764,0.00146896,0.00146896,0.00146896
20,720.246,1.69603,1.67725,1.62777,0.37183,0.49311,0.44894,0.20516,1.84408,1.69116,1.80317,0.00145796,0.00145796,0.00145796
21,755.29,1.64075,1.67114,1.59991,0.38003,0.44877,0.40846,0.18511,1.84595,1.85829,1.76834,0.00144696,0.00144696,0.00144696
22,787.826,1.63006,1.63903,1.58619,0.50772,0.45403,0.43248,0.19414,1.85462,1.7998,1.82683,0.00143595,0.00143595,0.00143595
23,820.891,1.6592,1.62611,1.62608,0.4528,0.47454,0.44918,0.21637,1.82862,1.69319,1.74585,0.00142495,0.00142495,0.00142495
24,854.671,1.62295,1.61829,1.5923,0.39285,0.47234,0.39383,0.18124,1.86282,1.8164,1.79765,0.00141395,0.00141395,0.00141395
25,891.543,1.60884,1.61385,1.58289,0.5146,0.47305,0.45775,0.21678,1.81268,1.74022,1.75046,0.00140295,0.00140295,0.00140295
26,926.33,1.57807,1.55344,1.54522,0.4785,0.4529,0.43061,0.19617,1.8018,1.75972,1.71432,0.00139195,0.00139195,0.00139195
27,960.724,1.57682,1.51596,1.54056,0.45279,0.50456,0.46099,0.21655,1.74148,1.61741,1.71172,0.00138094,0.00138094,0.00138094
28,992.685,1.59185,1.48709,1.54056,0.42535,0.45983,0.40929,0.20399,1.7665,1.72739,1.71343,0.00136994,0.00136994,0.00136994
29,1026.27,1.57482,1.50575,1.55566,0.39808,0.50032,0.43377,0.20016,1.8353,1.76854,1.82691,0.00135894,0.00135894,0.00135894
30,1059.13,1.57952,1.52036,1.55402,0.4525,0.48946,0.43788,0.1988,1.84198,1.71986,1.74461,0.00134794,0.00134794,0.00134794
31,1093.15,1.55773,1.47966,1.5218,0.46895,0.47794,0.44639,0.21416,1.73987,1.82463,1.69948,0.00133693,0.00133693,0.00133693
32,1125.92,1.53112,1.4597,1.50552,0.45991,0.49408,0.45494,0.21303,1.85988,1.64411,1.77065,0.00132593,0.00132593,0.00132593
33,1159.92,1.55743,1.46381,1.53425,0.40904,0.46331,0.42279,0.19155,1.86941,1.77367,1.86493,0.00131493,0.00131493,0.00131493
34,1192.77,1.49974,1.41647,1.49474,0.51497,0.48735,0.47103,0.2215,1.81294,1.66057,1.77365,0.00130393,0.00130393,0.00130393
35,1230.96,1.56958,1.48361,1.55858,0.4989,0.49995,0.48964,0.23404,1.75825,1.58196,1.75742,0.00129293,0.00129293,0.00129293
36,1264.68,1.47861,1.38597,1.49296,0.51813,0.40426,0.43071,0.20707,1.80758,1.68531,1.79495,0.00128192,0.00128192,0.00128192
37,1296.28,1.49767,1.41587,1.48848,0.44883,0.51702,0.45188,0.20938,1.81103,1.63421,1.76227,0.00127092,0.00127092,0.00127092
38,1330.24,1.48261,1.32861,1.47402,0.50216,0.52593,0.47528,0.22772,1.79829,1.55255,1.73997,0.00125992,0.00125992,0.00125992
39,1363.85,1.47737,1.34327,1.46939,0.52469,0.52208,0.49215,0.22185,1.82749,1.5974,1.75428,0.00124892,0.00124892,0.00124892
40,1398.33,1.47035,1.3037,1.46168,0.49928,0.47805,0.45274,0.22341,1.81252,1.58124,1.74955,0.00123791,0.00123791,0.00123791
41,1431.58,1.46993,1.30755,1.4726,0.45357,0.50389,0.47317,0.20866,1.80392,1.64313,1.78167,0.00122691,0.00122691,0.00122691
42,1463.89,1.44041,1.30204,1.45631,0.43758,0.53145,0.48364,0.2275,1.80548,1.5665,1.75307,0.00121591,0.00121591,0.00121591
43,1496.14,1.45496,1.30496,1.44814,0.53322,0.43546,0.46452,0.23205,1.87384,1.57939,1.82175,0.00120491,0.00120491,0.00120491
